	seqid	start	end	strand	length	motherlength	neighbor_gene	flag	distance	correlation	transcription	repetitions	gene_start	gene_end	gene_strand	gene_length	gene_transcription	same_strand
head14848	SM_V7_5	19841772	19841872	+	100	635	Smp_129210	olap	0.0	-0.0186554934943	6.748877073218218	0.0	19823314.0	19871639.0	+	48325	5.121858887631886	True
head14852	SM_V7_5	19848291	19848391	-	100	579	Smp_129210	olap	0.0	0.953303862391	76.05857715179499	0.0	19823314.0	19871639.0	+	48325	5.121858887631886	False
head1486	SM_V7_6	238575	238675	+	100	218	Smp_331110	esq	14543.0		0.0	8.0	220064.0	224032.0	-	3968	1.0401522496941409	False
head14861	SM_V7_4	19863835	19863935	+	100	495	Smp_127050	olap	0.0		1.0193623887386107	0.0	19825846.0	19884163.0	-	58317	7.1770896122772	False
head14864	SM_V7_6	19866284	19866384	+	100	607	Smp_147060	dir	667.0		0.0	0.0	19867051.0	19888235.0	+	21184	0.8141139073586122	True
head14880	SM_V7_6	19890995	19891095	+	100	690	Smp_147060	esq	2760.0		0.0	0.0	19867051.0	19888235.0	+	21184	0.8141139073586122	True
head14883	SM_V7_1	19892993	19893093	-	100	183	Smp_347730	esq	6997.0		0.0	0.0	19869300.0	19885996.0	+	16696	15.840470471991939	False
head14885	SM_V7_6	19894951	19895051	+	100	283	Smp_147070	dir	2377.0		0.0	0.0	19897428.0	19955057.0	-	57629	2.02339692022296	False
head14889	SM_V7_6	19906419	19906519	+	100	241	Smp_147070	olap	0.0	0.103057093563	3.454211600991963	0.0	19897428.0	19955057.0	-	57629	2.02339692022296	False
head14896	SM_V7_6	19915607	19915707	+	100	873	Smp_147070	olap	0.0		0.0	0.0	19897428.0	19955057.0	-	57629	2.02339692022296	False
head14897	SM_V7_5	19915421	19915521	-	100	100	Smp_334610	olap	0.0		0.5111257477096529	0.0	19893414.0	19926187.0	+	32773	0.4826798063348434	False
head14899	SM_V7_5	19918158	19918258	+	100	657	Smp_334610	olap	0.0		1.329061351882303	0.0	19893414.0	19926187.0	+	32773	0.4826798063348434	True
head14901	SM_V7_6	19920513	19920613	+	100	392	Smp_147070	olap	0.0		0.0	0.0	19897428.0	19955057.0	-	57629	2.02339692022296	False
head14907	SM_V7_ZW	19957899	19957999	+	100	763	Smp_342900	dir	4450.0		0.0	0.0	19962449.0	19971036.0	+	8587	0.47670658276106426	True
head14909	SM_V7_3	19957271	19957371	-	100	529	Smp_162550	olap	0.0		0.27194458900565555	0.0	19945521.0	19986843.0	+	41322	1.6554211754710477	False
head14910	SM_V7_1	19961868	19961968	-	100	1086	Smp_165420	dir	7112.0		0.0	0.0	19969080.0	20070694.0	+	101614	4.907563467695798	False
head14912	SM_V7_6	19969222	19969322	+	100	906	Smp_011030	esq	3449.0		0.0	0.0	19961071.0	19965773.0	+	4702	9.113776796032324	True
head14925	SM_V7_6	20013845	20013945	-	100	2578	Smp_011010	esq	877.0		0.0	0.0	20003733.0	20012968.0	-	9235	7.461823003752475	True
head1493	SM_V7_ZW	250338	250438	-	100	3133	Smp_202700	dir	29918.0		0.0	0.0	280356.0	287696.0	+	7340	0.674764539565923	False
head14935	SM_V7_3	20039357	20039457	-	100	1397	Smp_074830	olap	0.0		0.0	0.0	20027491.0	20079797.0	+	52306	0.4799759170592266	False
head1494	SM_V7_3	255205	255305	+	100	506	Smp_068680	olap	0.0		0.0	0.0	232312.0	264602.0	-	32290	1.0555223926663835	False
head14946	SM_V7_3	20057420	20057520	-	100	3186	Smp_074830	olap	0.0		0.2043158912466557	0.0	20027491.0	20079797.0	+	52306	0.4799759170592266	False
head14950	SM_V7_6	20071765	20071865	+	100	435	Smp_128000	esq	693.0	-0.147579579364	9.346956100880881	0.0	20060912.0	20071072.0	+	10160	20.580302868840278	True
head14952	SM_V7_2	20075836	20075936	-	100	900	Smp_098570	dir	1430.0		0.0	0.0	20077366.0	20078130.0	+	764	0.15043462401188135	False
head14957	SM_V7_5	20089273	20089373	-	100	311	Smp_344720	dir	11611.0		0.0	0.0	20100984.0	20143548.0	-	42564	1.0620482062656653	True
head14958	SM_V7_6	20087040	20087140	-	100	3130	Smp_127990	olap	0.0		1.1502741213326642	0.0	20075772.0	20108830.0	-	33058	2.240453201852327	True
head14959	SM_V7_6	20091005	20091105	+	100	170	Smp_127990	olap	0.0		0.0	0.0	20075772.0	20108830.0	-	33058	2.240453201852327	False
head14964	SM_V7_6	20099205	20099305	+	100	153	Smp_127990	olap	0.0	0.17286058082400002	3.466453491194246	0.0	20075772.0	20108830.0	-	33058	2.240453201852327	False
head14974	SM_V7_6	20127615	20127715	+	100	3186	Smp_098420	dir	2921.0		0.0	2.0	20130636.0	20132968.0	-	2332	0.0	False
head14975	SM_V7_2	20131991	20132091	+	100	293	Smp_098550	olap	0.0		1.3064190453981936	0.0	20097667.0	20133792.0	-	36125	11.460930236459863	False
head14977	SM_V7_5	20132915	20133015	-	100	3186	Smp_344720	olap	0.0		2.0436539868624406	0.0	20100984.0	20143548.0	-	42564	1.0620482062656653	True
head1498	SM_V7_ZW	262085	262185	+	100	643	Smp_202700	dir	18171.0		0.0	0.0	280356.0	287696.0	+	7340	0.674764539565923	True
head14981	SM_V7_6	20138328	20138428	-	100	564	Smp_098420	esq	5360.0		0.0	1.0	20130636.0	20132968.0	-	2332	0.0	True
head14983	SM_V7_6	20147315	20147415	-	100	65	Smp_098420	esq	14347.0		0.0	2.0	20130636.0	20132968.0	-	2332	0.0	True
head14984	SM_V7_6	20149561	20149661	+	100	172	Smp_098420	esq	16593.0		0.0	3.0	20130636.0	20132968.0	-	2332	0.0	False
head14991	SM_V7_2	20174570	20174670	+	100	528	Smp_176310	olap	0.0		0.3068098564629972	0.0	20140002.0	20225372.0	-	85370	1.1245205464329973	False
head15000	SM_V7_6	20193331	20193431	-	100	172	Smp_176270	dir	8942.0		2.4340619427283405	3.0	20202373.0	20225818.0	-	23445	2.837423696855066	True
head15005	SM_V7_6	20205713	20205813	+	100	444	Smp_176270	olap	0.0	0.681994586532	3.1434354836135916	1.0	20202373.0	20225818.0	-	23445	2.837423696855066	False
head15029	SM_V7_2	20248048	20248148	-	100	3186	Smp_176310	esq	22676.0		1.1923741583946472	0.0	20140002.0	20225372.0	-	85370	1.1245205464329973	True
head1503	SM_V7_3	266236	266336	-	100	499	Smp_068680	esq	1634.0		0.0	1.0	232312.0	264602.0	-	32290	1.0555223926663835	True
head15036	SM_V7_6	20261818	20261918	-	100	529	Smp_098450	esq	6365.0		0.0	0.0	20229922.0	20255453.0	+	25531	9.514380043833421	False
head15038	SM_V7_ZW	20264201	20264301	+	100	512	Smp_134300	olap	0.0	-0.20085413481400002	4.483530963037712	0.0	20249026.0	20289115.0	-	40089	9.188563283345417	False
head15040	SM_V7_5	20264702	20264802	-	100	238	Smp_330670	dir	11180.0		3.2963174835057263	0.0	20275982.0	20277807.0	+	1825	1.677863938550039	False
head15041	SM_V7_5	20266188	20266288	+	100	876	Smp_330670	dir	9694.0		0.0	0.0	20275982.0	20277807.0	+	1825	1.677863938550039	True
head15043	SM_V7_5	20266716	20266816	-	100	122	Smp_330670	dir	9166.0		0.3068098564629972	0.0	20275982.0	20277807.0	+	1825	1.677863938550039	False
head15045	SM_V7_6	20266806	20266906	-	100	1010	Smp_098450	esq	11353.0		2.38532911078278	0.0	20229922.0	20255453.0	+	25531	9.514380043833421	False
head15046	SM_V7_6	20271392	20271492	+	100	422	Smp_098450	esq	15939.0	0.39698679754	4.551021380269928	0.0	20229922.0	20255453.0	+	25531	9.514380043833421	True
head15048	SM_V7_3	20270956	20271056	-	100	1146	Smp_162620	olap	0.0	0.04435503896930001	72.83492587352522	0.0	20267267.0	20287554.0	-	20287	20.402398800668266	True
head1505	SM_V7_3	270920	271020	-	100	104	Smp_068680	esq	6318.0		0.0	0.0	232312.0	264602.0	-	32290	1.0555223926663835	True
head15055	SM_V7_6	20279826	20279926	-	100	311	Smp_203190	dir	9905.0		0.0	0.0	20289831.0	20299688.0	-	9857	2.0202386311742657	True
head1506	SM_V7_ZWU001	269734	269834	-	100	1288	Smp_320820	dir	17593.0		0.0	1.0	287427.0	289032.0	-	1605	0.0	True
head15069	SM_V7_1	20296902	20297002	+	100	757	Smp_331830	olap	0.0		2.615343757155413	0.0	20286130.0	20301049.0	+	14919	1.1069875039834223	True
head1507	SM_V7_2	274901	275001	+	100	3183	Smp_309960	dir	13155.0		0.47626048025231127	0.0	288156.0	321970.0	+	33814	1.6263274688063674	True
head15073	SM_V7_2	20298992	20299092	-	100	971	Smp_176300	dir	4700.0		0.0	0.0	20303792.0	20395159.0	+	91367	0.12340489201999992	False
head15075	SM_V7_6	20305002	20305102	+	100	948	Smp_203190	esq	5314.0		0.9204295693889916	0.0	20289831.0	20299688.0	-	9857	2.0202386311742657	False
head15076	SM_V7_6	20305089	20305189	-	100	210	Smp_203190	esq	5401.0		0.3068098564629972	0.0	20289831.0	20299688.0	-	9857	2.0202386311742657	True
head15077	SM_V7_2	20310046	20310146	+	100	611	Smp_176300	olap	0.0		0.0	0.0	20303792.0	20395159.0	+	91367	0.12340489201999992	True
head15080	SM_V7_6	20315478	20315578	-	100	709	Smp_203190	esq	15790.0		0.0	0.0	20289831.0	20299688.0	-	9857	2.0202386311742657	True
head15082	SM_V7_2	20316755	20316855	-	100	109	Smp_176300	olap	0.0		0.3068098564629972	1.0	20303792.0	20395159.0	+	91367	0.12340489201999992	False
head15083	SM_V7_ZW	20314210	20314310	-	100	3183	Smp_134290	olap	0.0	0.05939702265959999	3.9858810094808037	0.0	20300499.0	20331294.0	+	30795	7.660347960530908	False
head15087	SM_V7_6	20327862	20327962	+	100	825	Smp_154220	dir	8874.0		0.0	0.0	20336836.0	20341438.0	-	4602	0.492410824540194	False
head15093	SM_V7_6	20331891	20331991	-	100	372	Smp_154220	dir	4845.0		0.0	0.0	20336836.0	20341438.0	-	4602	0.492410824540194	True
head15096	SM_V7_3	20330330	20330430	-	100	3183	Smp_074950	olap	0.0		0.3068098564629972	0.0	20312971.0	20336184.0	-	23213	5.75928493738047	True
head15100	SM_V7_4	20340806	20340906	-	100	235	Smp_340200	dir	4202.0		0.0	0.0	20345108.0	20358632.0	-	13524	1.6123115841099143	True
head15103	SM_V7_5	20342979	20343079	-	100	805	Smp_330680	dir	5691.0		0.3068098564629972	0.0	20348770.0	20351725.0	-	2955	0.1468338535170488	True
head15106	SM_V7_5	20350675	20350775	+	100	956	Smp_330680	olap	0.0		0.0	0.0	20348770.0	20351725.0	-	2955	0.1468338535170488	False
head15117	SM_V7_6	20367365	20367465	-	100	381	Smp_059540	olap	0.0	0.49517719668899995	14.841281418921081	0.0	20358262.0	20372039.0	+	13777	37.58135052058714	False
head15125	SM_V7_5	20385243	20385343	-	100	189	Smp_344710	olap	0.0	0.102411669532	5.0325921998096685	1.0	20379409.0	20399525.0	+	20116	4.544088572835732	False
head15127	SM_V7_3	20388093	20388193	-	100	3189	Smp_162630	esq	6649.0		0.0	0.0	20366872.0	20381444.0	-	14572	122.70996389010706	True
head15128	SM_V7_5	20389443	20389543	-	100	2048	Smp_344710	olap	0.0	0.0743705458983	6.489004138419302	0.0	20379409.0	20399525.0	+	20116	4.544088572835732	False
head15132	SM_V7_1	20398205	20398305	-	100	453	Smp_163420	olap	0.0		1.1575088909373055	0.0	20373224.0	20446055.0	+	72831	16.954880845148224	False
head15138	SM_V7_2	20397028	20397128	-	100	3183	Smp_176300	esq	1869.0		0.0	0.0	20303792.0	20395159.0	+	91367	0.12340489201999992	False
head15142	SM_V7_6	20401911	20402011	-	100	549	Smp_316110	esq	16343.0		3.8974329781790167	0.0	20379403.0	20385568.0	-	6165	47.22545343088417	True
head15150	SM_V7_6	20427402	20427502	+	100	3184	Smp_059570	dir	25747.0		0.27194458900565555	0.0	20453249.0	20501079.0	-	47830	2.5011876710417402	False
head15157	SM_V7_6	20432377	20432477	-	100	113	Smp_059570	dir	20772.0		2.6054509113645445	0.0	20453249.0	20501079.0	-	47830	2.5011876710417402	True
head15159	SM_V7_6	20437753	20437853	+	100	297	Smp_059570	dir	15396.0		0.27194458900565555	0.0	20453249.0	20501079.0	-	47830	2.5011876710417402	False
head15172	SM_V7_6	20481945	20482045	+	100	572	Smp_059570	olap	0.0		1.701978862942102	0.0	20453249.0	20501079.0	-	47830	2.5011876710417402	False
head15176	SM_V7_2	20494518	20494618	+	100	2375	Smp_041700	dir	11300.0		1.456130383913771	0.0	20505918.0	20534798.0	-	28880	0.715331874103767	False
head1518	SM_V7_3	288821	288921	-	100	838	Smp_307600	dir	12234.0		0.0	1.0	301155.0	413622.0	-	112467	0.3367832444068225	True
head15184	SM_V7_6	20503841	20503941	+	100	572	Smp_059570	esq	2762.0		0.6423707076387833	0.0	20453249.0	20501079.0	-	47830	2.5011876710417402	False
head15188	SM_V7_6	20516659	20516759	-	100	586	Smp_059570	esq	15580.0		0.0	0.0	20453249.0	20501079.0	-	47830	2.5011876710417402	True
head15190	SM_V7_6	20520051	20520151	-	100	292	Smp_059570	esq	18972.0		0.0	0.0	20453249.0	20501079.0	-	47830	2.5011876710417402	True
head15199	SM_V7_6	20532233	20532333	-	100	245	Smp_059570	esq	31154.0		0.0	0.0	20453249.0	20501079.0	-	47830	2.5011876710417402	True
head152	SM_V7_U004	4857	4957	+	100	611	Smp_328750	dir	3379.0		0.0	4.0	8336.0	16512.0	+	8176	0.006563777010844788	True
head1520	SM_V7_3	293594	293694	+	100	160	Smp_307600	dir	7461.0		0.0	1.0	301155.0	413622.0	-	112467	0.3367832444068225	False
head15201	SM_V7_6	20536257	20536357	-	100	439	Smp_059570	esq	35178.0		0.42152678265257104	0.0	20453249.0	20501079.0	-	47830	2.5011876710417402	True
head1521	SM_V7_3	295472	295572	+	100	223	Smp_307600	dir	5583.0		0.3068098564629972	1.0	301155.0	413622.0	-	112467	0.3367832444068225	False
head15221	SM_V7_2	20561558	20561658	-	100	425	Smp_041700	esq	26760.0		1.7380057183864146	0.0	20505918.0	20534798.0	-	28880	0.715331874103767	True
head15224	SM_V7_6	20563239	20563339	-	100	131	Smp_244170	dir	13159.0	0.405680872556	12.470909157387075	0.0	20576498.0	20604679.0	-	28181	18.460518360889903	True
head15227	SM_V7_6	20567254	20567354	+	100	235	Smp_244170	dir	9144.0	0.8053615162409999	19.706042305012005	0.0	20576498.0	20604679.0	-	28181	18.460518360889903	False
head15233	SM_V7_2	20579454	20579554	-	100	415	Smp_041700	esq	44656.0		0.6129476737399671	0.0	20505918.0	20534798.0	-	28880	0.715331874103767	True
head15234	SM_V7_2	20580134	20580234	-	100	797	Smp_041700	esq	45336.0		1.1586704789242763	0.0	20505918.0	20534798.0	-	28880	0.715331874103767	True
head15254	SM_V7_6	20628872	20628972	+	100	223	Smp_136660	olap	0.0	0.365092374433	10.840439592442678	0.0	20615923.0	20660069.0	-	44146	4.8400875486529795	False
head15255	SM_V7_2	20628384	20628484	-	100	455	Smp_245680	dir	23552.0		6.030773054621143	0.0	20652036.0	20735220.0	+	83184	1.8562597007826929	False
head15259	SM_V7_6	20634610	20634710	+	100	763	Smp_136660	olap	0.0		0.0	0.0	20615923.0	20660069.0	-	44146	4.8400875486529795	False
head15271	SM_V7_ZW	20641934	20642034	-	100	146	Smp_304460	olap	0.0		0.3068098564629972	0.0	20632934.0	20687471.0	+	54537	1.7942548921497552	False
head15276	SM_V7_ZW	20647616	20647716	+	100	1885	Smp_304460	olap	0.0		0.2043158912466557	0.0	20632934.0	20687471.0	+	54537	1.7942548921497552	True
head15285	SM_V7_6	20651803	20651903	+	100	233	Smp_136660	olap	0.0		0.0	0.0	20615923.0	20660069.0	-	44146	4.8400875486529795	False
head15289	SM_V7_2	20663206	20663306	-	100	257	Smp_245680	olap	0.0		0.2043158912466557	0.0	20652036.0	20735220.0	+	83184	1.8562597007826929	False
head1529	SM_V7_1	302111	302211	+	100	1039	Smp_318880	olap	0.0		2.3422754798389063	9.0	300846.0	316859.0	+	16013	0.8204699257789299	True
head15301	SM_V7_6	20692991	20693091	-	100	928	Smp_026770	dir	7785.0		0.9204295693889916	0.0	20700876.0	20708960.0	+	8084	72.37073221040623	False
head15305	SM_V7_5	20696398	20696498	-	100	187	Smp_334620	olap	0.0		0.0	1.0	20674116.0	20714820.0	+	40704	0.1228336408075262	False
head15313	SM_V7_ZW	20703365	20703465	-	100	3183	Smp_092880	esq	8143.0		0.6423707076387833	0.0	20687920.0	20695222.0	-	7302	223.55537863667536	True
head15329	SM_V7_6	20736667	20736767	+	100	500	Smp_342570	olap	0.0	-0.497969241296	8.334555211687743	0.0	20708965.0	20889272.0	-	180307	1.45721759022647	False
head15332	SM_V7_1	20740062	20740162	+	100	178	Smp_076960	olap	0.0		3.6522774735989763	0.0	20719937.0	20770412.0	-	50475	4.813519239857959	False
head15334	SM_V7_3	20741742	20741842	+	100	441	Smp_346300	olap	0.0		1.1586704789242763	0.0	20736454.0	20762462.0	-	26008	0.5902987799515729	False
head15340	SM_V7_6	20759151	20759251	+	100	87	Smp_342570	olap	0.0	0.220853377157	3.3885212480798534	0.0	20708965.0	20889272.0	-	180307	1.45721759022647	False
head15343	SM_V7_6	20761963	20762063	+	100	222	Smp_342570	olap	0.0		0.4086317824933114	0.0	20708965.0	20889272.0	-	180307	1.45721759022647	False
head15347	SM_V7_4	20770362	20770462	+	100	1055	Smp_334180	olap	0.0	0.321643771337	2.4916736645271835	0.0	20747036.0	20823500.0	+	76464	2.4664790746238046	True
head15348	SM_V7_6	20772633	20772733	-	100	516	Smp_342570	olap	0.0	-0.165934980244	3.2571715704768307	0.0	20708965.0	20889272.0	-	180307	1.45721759022647	True
head15351	SM_V7_6	20781016	20781116	+	100	193	Smp_342570	olap	0.0		0.0	0.0	20708965.0	20889272.0	-	180307	1.45721759022647	False
head15352	SM_V7_4	20780531	20780631	-	100	1392	Smp_334180	olap	0.0		1.686928529739334	1.0	20747036.0	20823500.0	+	76464	2.4664790746238046	False
head15354	SM_V7_1	20784564	20784664	-	100	868	Smp_076950	dir	2609.0		1.1923741583946472	0.0	20787273.0	20806662.0	-	19389	16.026963193237055	True
head15357	SM_V7_ZW	20789667	20789767	-	100	701	Smp_030370	dir	18259.0		0.0	0.0	20808026.0	20814300.0	+	6274	214.54904198299556	False
head15365	SM_V7_5	20800566	20800666	+	100	76	Smp_314740	olap	0.0		1.9651542944677403	0.0	20777737.0	20819212.0	-	41475	5.578142484068667	False
head15373	SM_V7_6	20813708	20813808	+	100	303	Smp_342570	olap	0.0		0.0	0.0	20708965.0	20889272.0	-	180307	1.45721759022647	False
head15376	SM_V7_6	20814125	20814225	-	100	641	Smp_342570	olap	0.0		0.0	0.0	20708965.0	20889272.0	-	180307	1.45721759022647	True
head15379	SM_V7_3	20818168	20818268	+	100	194	Smp_174810	dir	7318.0		0.0	0.0	20825586.0	20830486.0	+	4900	7.063050556723894	True
head15382	SM_V7_1	20822229	20822329	+	100	1967	Smp_076950	esq	15567.0		0.0	0.0	20787273.0	20806662.0	-	19389	16.026963193237055	False
head15384	SM_V7_6	20822359	20822459	+	100	1108	Smp_342570	olap	0.0		0.0	0.0	20708965.0	20889272.0	-	180307	1.45721759022647	False
head15391	SM_V7_6	20829800	20829900	+	100	638	Smp_342570	olap	0.0		0.4086317824933114	0.0	20708965.0	20889272.0	-	180307	1.45721759022647	False
head15392	SM_V7_5	20832541	20832641	+	100	567	Smp_314750	olap	0.0	0.9450439173190001	13.191449020566983	0.0	20821977.0	20896862.0	-	74885	1.2453019213177412	False
head15401	SM_V7_5	20843750	20843850	+	100	530	Smp_314750	olap	0.0		0.0	0.0	20821977.0	20896862.0	-	74885	1.2453019213177412	False
head15412	SM_V7_2	20855132	20855232	-	100	629	Smp_328090	esq	11180.0		0.8855643019316499	0.0	20828826.0	20843952.0	-	15126	0.271351413377688	True
head15416	SM_V7_6	20860311	20860411	+	100	307	Smp_342570	olap	0.0	0.291098203045	8.462930484401431	0.0	20708965.0	20889272.0	-	180307	1.45721759022647	False
head15418	SM_V7_6	20865713	20865813	+	100	3183	Smp_342570	olap	0.0		0.27194458900565555	0.0	20708965.0	20889272.0	-	180307	1.45721759022647	False
head15419	SM_V7_2	20863389	20863489	+	100	872	Smp_328090	esq	19437.0		0.0	0.0	20828826.0	20843952.0	-	15126	0.271351413377688	False
head1542	SM_V7_W003	308026	308126	+	100	234	Smp_320680	esq	88054.0		0.0	0.0	205601.0	219972.0	-	14371	0.01660225387778349	False
head15421	SM_V7_4	20871104	20871204	+	100	952	Smp_008900	esq	23637.0		0.0	0.0	20827272.0	20847467.0	-	20195	176.1468466569171	False
head15423	SM_V7_6	20871937	20872037	+	100	160	Smp_342570	olap	0.0		0.0	0.0	20708965.0	20889272.0	-	180307	1.45721759022647	False
head15426	SM_V7_2	20879188	20879288	+	100	309	Smp_124450	dir	19106.0		0.2043158912466557	0.0	20898394.0	20919682.0	-	21288	8.747022189409474	False
head15427	SM_V7_4	20881456	20881556	+	100	202	Smp_347090	dir	24147.0		0.0	0.0	20905703.0	20931059.0	+	25356	0.3444874347815888	True
head15428	SM_V7_5	20881124	20881224	-	100	67	Smp_314750	olap	0.0		0.8158337670169666	0.0	20821977.0	20896862.0	-	74885	1.2453019213177412	True
head15430	SM_V7_5	20883581	20883681	+	100	287	Smp_314750	olap	0.0		0.27194458900565555	0.0	20821977.0	20896862.0	-	74885	1.2453019213177412	False
head15440	SM_V7_5	20903559	20903659	+	100	306	Smp_314750	esq	6697.0		0.3068098564629972	0.0	20821977.0	20896862.0	-	74885	1.2453019213177412	False
head15443	SM_V7_5	20907091	20907191	-	100	248	Smp_314750	esq	10229.0		1.2847414152775667	0.0	20821977.0	20896862.0	-	74885	1.2453019213177412	True
head15449	SM_V7_4	20916095	20916195	+	100	662	Smp_347090	olap	0.0		0.0	0.0	20905703.0	20931059.0	+	25356	0.3444874347815888	True
head15451	SM_V7_5	20916961	20917061	+	100	909	Smp_314750	esq	20099.0		0.0	0.0	20821977.0	20896862.0	-	74885	1.2453019213177412	False
head1546	SM_V7_ZW	310230	310330	+	100	352	Smp_332820	olap	0.0		0.0	0.0	292799.0	445292.0	-	152493	0.38175698507328654	False
head15490	SM_V7_6	20979022	20979122	+	100	232	Smp_016600	olap	0.0	0.389244858296	6.289441777613032	0.0	20969237.0	21057842.0	-	88605	1.6657880184328389	False
head15492	SM_V7_4	20985006	20985106	+	100	641	Smp_346580	olap	0.0		1.6099632252200091	0.0	20974076.0	21001511.0	+	27435	1.280460975137696	True
head15493	SM_V7_5	20987062	20987162	-	100	582	Smp_144030	dir	16244.0		0.2043158912466557	0.0	21003406.0	21040050.0	+	36644	17.699971806731913	False
head15495	SM_V7_4	20989898	20989998	-	100	1133	Smp_346580	olap	0.0	0.24928718633299998	4.1251664003653365	0.0	20974076.0	21001511.0	+	27435	1.280460975137696	False
head1550	SM_V7_3	313147	313247	+	100	375	Smp_307600	olap	0.0		0.0	0.0	301155.0	413622.0	-	112467	0.3367832444068225	False
head15505	SM_V7_6	21008209	21008309	+	100	198	Smp_016600	olap	0.0		1.2847414152775667	0.0	20969237.0	21057842.0	-	88605	1.6657880184328389	False
head15507	SM_V7_6	21010465	21010565	-	100	576	Smp_016600	olap	0.0		8.302903414988158	0.0	20969237.0	21057842.0	-	88605	1.6657880184328389	True
head15508	SM_V7_5	21011118	21011218	-	100	471	Smp_144030	olap	0.0		3.934512263246847	0.0	21003406.0	21040050.0	+	36644	17.699971806731913	False
head15515	SM_V7_6	21019612	21019712	-	100	509	Smp_016600	olap	0.0		0.6322901739788567	0.0	20969237.0	21057842.0	-	88605	1.6657880184328389	True
head15516	SM_V7_5	21020604	21020704	-	100	179	Smp_144030	olap	0.0		0.5787544454686527	0.0	21003406.0	21040050.0	+	36644	17.699971806731913	False
head15517	SM_V7_6	21023532	21023632	+	100	595	Smp_016600	olap	0.0		0.6136197129259944	0.0	20969237.0	21057842.0	-	88605	1.6657880184328389	False
head15518	SM_V7_6	21026652	21026752	-	100	203	Smp_016600	olap	0.0		0.0	0.0	20969237.0	21057842.0	-	88605	1.6657880184328389	True
head15523	SM_V7_5	21029608	21029708	-	100	746	Smp_144030	olap	0.0	0.8302165454960001	150.22101042137055	0.0	21003406.0	21040050.0	+	36644	17.699971806731913	False
head15526	SM_V7_3	21035445	21035545	+	100	82	Smp_212410	olap	0.0		0.0	0.0	21007229.0	21137136.0	-	129907	0.5515512139288512	False
head15529	SM_V7_3	21037883	21037983	-	100	601	Smp_212410	olap	0.0		1.1929549523881327	0.0	21007229.0	21137136.0	-	129907	0.5515512139288512	True
head15531	SM_V7_6	21041849	21041949	+	100	244	Smp_016600	olap	0.0		0.3068098564629972	0.0	20969237.0	21057842.0	-	88605	1.6657880184328389	False
head15536	SM_V7_2	21050249	21050349	-	100	3188	Smp_167750	olap	0.0	0.376338982579	8.216844951379784	0.0	21042316.0	21058325.0	+	16009	31.019645825162694	False
head15543	SM_V7_6	21058941	21059041	-	100	293	Smp_016600	esq	1099.0		0.2043158912466557	0.0	20969237.0	21057842.0	-	88605	1.6657880184328389	True
head15547	SM_V7_ZW	21064428	21064528	+	100	1316	Smp_084270	dir	527.0		0.0	0.0	21065055.0	21071735.0	+	6680	1.0229606969011413	True
head15550	SM_V7_6	21065745	21065845	-	100	570	Smp_016600	esq	7903.0		0.680576371498967	0.0	20969237.0	21057842.0	-	88605	1.6657880184328389	True
head15553	SM_V7_6	21074611	21074711	+	100	415	Smp_016600	esq	16769.0		0.6136197129259944	0.0	20969237.0	21057842.0	-	88605	1.6657880184328389	False
head15555	SM_V7_5	21076973	21077073	+	100	696	Smp_040110	olap	0.0		2.1121316885976116	0.0	21065305.0	21081712.0	-	16407	2.5781932444852256	False
head15559	SM_V7_5	21080161	21080261	+	100	289	Smp_040110	olap	0.0	0.112281285953	2.920357886121532	0.0	21065305.0	21081712.0	-	16407	2.5781932444852256	False
head15561	SM_V7_6	21080590	21080690	+	100	238	Smp_016600	esq	22748.0		0.3068098564629972	0.0	20969237.0	21057842.0	-	88605	1.6657880184328389	False
head15564	SM_V7_5	21097321	21097421	+	100	399	Smp_040100	olap	0.0	0.376394374998	2.103375875830772	0.0	21091839.0	21106864.0	+	15025	15.239066193131594	True
head15566	SM_V7_3	21104097	21104197	+	100	1724	Smp_212410	olap	0.0		0.9143152966444389	0.0	21007229.0	21137136.0	-	129907	0.5515512139288512	False
head15568	SM_V7_ZW	21104957	21105057	+	100	640	Smp_266720	dir	1248.0		0.0	0.0	21106305.0	21168369.0	+	62064	1.7617123184491965	True
head15570	SM_V7_6	21112343	21112443	-	100	237	Smp_131230	dir	8627.0		0.0	0.0	21121070.0	21165078.0	-	44008	3.2640941538566226	True
head15578	SM_V7_6	21120424	21120524	+	100	527	Smp_131230	dir	546.0		0.0	0.0	21121070.0	21165078.0	-	44008	3.2640941538566226	False
head15583	SM_V7_3	21128536	21128636	+	100	191	Smp_212410	olap	0.0		2.5291606959154267	0.0	21007229.0	21137136.0	-	129907	0.5515512139288512	False
head15585	SM_V7_6	21130230	21130330	+	100	115	Smp_131230	olap	0.0		1.1586704789242763	0.0	21121070.0	21165078.0	-	44008	3.2640941538566226	False
head15586	SM_V7_ZW	21129357	21129457	-	100	1101	Smp_266720	olap	0.0		0.27194458900565555	0.0	21106305.0	21168369.0	+	62064	1.7617123184491965	False
head15587	SM_V7_6	21133526	21133626	+	100	273	Smp_131230	olap	0.0		3.307230796192687	0.0	21121070.0	21165078.0	-	44008	3.2640941538566226	False
head15588	SM_V7_5	21138994	21139094	-	100	538	Smp_144020	olap	0.0		0.0	0.0	21110160.0	21207135.0	-	96975	0.6192191304020191	True
head15612	SM_V7_4	21178668	21178768	+	100	549	Smp_008850	dir	22023.0		0.21076339132628552	0.0	21200791.0	21202975.0	+	2184	6.173756476684015	True
